MSGH,TOTAL,PROG,LOGIN
169,1202,08:00,modtogo1
157,1307,08:00,modtogo16
120,332,03:00,modtogo17
204,1325,08:00,modtogo18
136,136,01:00,modtogo2
180,3,00:00,modtogo21
72,558,08:00,modtogo23
153,1115,08:00,modtogo3
171,1282,08:00,modtogo5
121,1004,08:00,modtogo9
390,65,00:15,togo02
126,970,07:45,togo03
166,1164,07:00,togo05
127,1044,05:00,togo22plus
100,800,08:00,modtogo
101,500,08:00,modtogo11
102,4005,08:00,modtogo15
103,600,08:00,togo13
104,1300,08:00,togo14
105,1500,08:00,togo15
106,7900,08:00,togo02
107,899,08:00,togo08
108,900,08:00,modtogo07
109,796,08:00,modtogo17
109,791,00:00,modotogo19
109,790,08:00,modoretogo19
